,0 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
2020-02-24,1,1,0,3,2,4,3
2020-03-02,0,2,5,7,22,22,27
2020-03-09,10,6,21,48,61,113,100
2020-03-16,25,36,79,190,272,427,377
2020-03-23,47,88,183,475,634,920,544
2020-03-30,42,71,163,392,514,608,385
2020-04-06,36,36,111,281,320,365,255
2020-04-13,19,36,66,163,199,206,178
2020-04-20,20,27,51,106,128,123,123
2020-04-27,12,13,33,75,63,94,100
2020-05-04,11,15,27,57,54,63,76
2020-05-11,10,9,13,33,42,47,59
2020-05-18,8,6,12,23,33,43,36
2020-05-25,6,5,14,23,28,43,28
2020-06-01,2,3,12,9,18,24,22
2020-06-08,4,2,3,10,8,14,13
2020-06-15,6,3,2,8,3,6,9
2020-06-22,5,3,5,9,3,5,6
2020-06-29,2,3,1,3,6,5,7
2020-07-06,1,1,1,5,3,8,9
2020-07-13,2,2,4,6,8,7,5
2020-07-20,1,3,2,12,12,11,7
2020-07-27,3,5,10,8,13,11,15
2020-08-03,6,3,8,16,19,21,20
2020-08-10,6,7,8,16,31,29,28
2020-08-17,2,6,10,22,25,25,23
2020-08-24,5,10,2,15,12,16,14
2020-08-31,9,5,17,28,17,24,17
2020-09-07,11,11,26,28,39,43,33
2020-09-14,20,22,38,64,80,102,61
2020-09-21,40,25,55,95,112,157,122
2020-09-28,38,28,72,142,152,191,176
2020-10-05,39,44,76,212,221,318,239
2020-10-12,44,55,120,230,305,439,342
2020-10-19,46,55,111,290,364,526,458
2020-10-26,52,53,126,322,368,495,477
2020-11-02,38,51,105,227,370,464,411
2020-11-09,45,46,83,228,310,394,390
2020-11-16,43,51,80,202,294,346,305
2020-11-23,25,37,60,182,206,348,273
2020-11-30,27,48,68,175,230,321,307
2020-12-07,43,39,98,192,267,372,367
2020-12-14,45,61,95,239,312,487,424
2020-12-21,34,40,115,299,402,584,485
2020-12-28,45,52,108,279,369,564,486
2021-01-04,43,55,106,248,327,487,429
2021-01-11,37,36,70,236,335,378,371
2021-01-18,33,36,72,219,294,396,352
2021-01-25,31,37,72,172,290,356,313
2021-02-01,34,37,66,211,239,312,297
2021-02-08,22,31,83,194,238,331,282
2021-02-15,45,41,74,194,235,297,279
2021-02-22,20,41,116,219,266,289,227
2021-03-01,22,56,77,218,248,313,224
2021-03-08,34,55,101,247,305,335,204
2021-03-15,38,69,141,307,313,377,202
2021-03-22,51,78,155,323,351,430,207
2021-03-29,56,91,140,347,402,449,197
2021-04-05,61,93,151,332,401,460,174
2021-04-12,59,82,157,334,382,450,138
2021-04-19,62,94,177,384,415,494,159
2021-04-26,53,91,186,392,430,454,129
2021-05-03,54,86,148,370,354,329,115
2021-05-10,47,75,135,339,279,252,105
2021-05-17,49,55,118,273,199,173,70
2021-05-24,46,38,74,158,116,88,67
2021-05-31,30,36,67,134,71,54,41
2021-06-07,17,29,41,72,41,38,18
2021-06-14,21,12,24,39,30,29,22
2021-06-21,13,9,12,19,16,13,11
2021-06-28,6,4,10,12,9,7,6
2021-07-05,25,11,9,15,11,9,7
2021-07-12,49,45,30,52,30,33,31
2021-07-19,72,60,96,98,82,67,69
2021-07-26,53,77,74,97,90,76,77
2021-08-02,44,47,58,71,68,65,58
2021-08-09,50,44,45,90,74,65,68
2021-08-16,32,55,62,84,55,59,61
2021-08-23,45,42,53,68,54,69,69
2021-08-30,44,41,48,70,66,69,65
2021-09-06,31,48,45,54,59,68,65
2021-09-13,26,28,43,59,54,51,41
2021-09-20,21,12,41,34,48,38,39
2021-09-27,16,30,27,52,44,45,58
2021-10-04,24,24,28,50,49,79,73
2021-10-11,27,27,34,57,84,94,120
2021-10-18,41,44,50,73,100,159,188
2021-10-25,46,51,65,91,149,272,273
2021-11-01,48,64,74,110,218,326,375
2021-11-08,79,82,90,159,256,383,463
2021-11-15,90,111,105,188,361,504,545
2021-11-22,95,100,148,245,379,580,553
2021-11-29,107,102,144,265,383,545,525
2021-12-06,108,119,140,253,375,528,437
2021-12-13,60,76,91,175,308,392,331
2021-12-20,64,69,67,170,226,304,220
2021-12-27,75,65,73,154,206,277,192
2022-01-03,104,79,69,148,189,208,179
2022-01-10,101,75,71,113,136,172,164
2022-01-17,223,103,68,134,149,194,180
2022-01-24,267,151,93,130,166,234,247
2022-01-31,256,183,113,156,218,302,290
2022-02-07,236,145,98,163,222,302,305
2022-02-14,227,104,102,147,239,324,330
2022-02-21,151,77,75,136,218,295,302
2022-02-28,182,105,65,156,248,348,393
2022-03-07,244,115,75,167,307,426,487
2022-03-14,176,117,92,157,334,473,557
2022-03-21,130,89,75,157,288,460,555
2022-03-28,96,54,45,130,220,360,428
2022-04-04,100,40,37,85,191,322,295
2022-04-11,69,22,21,67,130,201,242
2022-04-18,30,18,14,61,113,176,173
2022-04-25,26,11,12,50,61,123,133
2022-05-02,29,13,11,27,55,96,118
2022-05-09,14,11,9,25,67,73,78
2022-05-16,17,16,8,25,40,79,90
2022-05-23,15,10,5,26,39,61,68
2022-05-30,16,3,14,34,43,79,93
2022-06-06,29,4,21,35,64,88,127
2022-06-13,29,13,20,38,88,133,157
2022-06-20,49,24,13,54,115,174,211
2022-06-27,45,28,29,53,132,224,244
2022-07-04,65,29,34,62,144,214,276
2022-07-11,75,34,31,68,145,260,317
2022-07-18,79,24,30,62,153,271,315
2022-07-25,52,31,23,65,120,200,233
2022-08-01,39,25,17,44,103,172,208
2022-08-08,34,12,15,37,67,144,167
2022-08-15,35,13,18,27,59,135,143
2022-08-22,25,12,17,36,58,105,104
2022-08-29,22,8,12,27,55,95,103
2022-09-05,23,14,13,36,55,100,128
2022-09-12,23,16,9,29,63,103,138
2022-09-19,30,16,20,37,67,147,222
2022-09-26,31,15,23,65,110,262,315
2022-10-03,54,21,22,56,151,277,380
2022-10-10,43,16,26,56,144,293,349
2022-10-17,45,26,26,62,150,269,329
2022-10-24,33,18,24,55,121,225,240
2022-10-31,25,17,9,47,84,177,195
2022-11-07,28,13,17,30,63,136,167
2022-11-14,19,11,15,28,62,132,125
2022-11-21,26,14,15,39,82,127,155
2022-11-28,29,13,16,38,96,140,159
