,0,1,2
0,9.0,,
1,4.0,4554.0,312.0
2,21.0,10303.0,789.0
3,32.0,11631.0,1031.0
4,36.0,11118.0,1165.0
5,38.0,9627.0,1277.0
6,47.0,7937.0,1135.0
7,39.0,6452.0,993.0
8,48.0,5673.0,901.0
9,41.0,4547.0,768.0
10,26.0,3725.0,656.0
11,40.0,3194.0,571.0
12,34.0,2653.0,460.0
13,40.0,2129.0,427.0
14,35.0,1891.0,357.0
15,24.0,1828.0,285.0
16,33.0,1478.0,245.0
17,21.0,1202.0,222.0
18,22.0,1050.0,163.0
19,23.0,968.0,176.0
20,32.0,801.0,133.0
21,22.0,696.0,125.0
22,17.0,665.0,120.0
23,17.0,598.0,94.0
24,12.0,494.0,87.0
25,10.0,463.0,90.0
26,15.0,417.0,58.0
27,13.0,364.0,57.0
28,17.0,360.0,62.0
29,13.0,316.0,35.0
30,8.0,279.0,36.0
31,5.0,235.0,35.0
32,8.0,247.0,36.0
33,7.0,212.0,36.0
34,6.0,188.0,39.0
35,13.0,177.0,26.0
36,13.0,182.0,23.0
37,9.0,177.0,15.0
38,7.0,131.0,16.0
39,5.0,101.0,17.0
40,7.0,120.0,16.0
41,4.0,88.0,11.0
42,5.0,100.0,10.0
43,8.0,91.0,12.0
44,4.0,102.0,9.0
45,8.0,88.0,12.0
46,5.0,68.0,5.0
47,2.0,56.0,13.0
48,3.0,53.0,9.0
49,3.0,64.0,7.0
50,1.0,58.0,4.0
51,4.0,57.0,1.0
52,1.0,39.0,0.0
53,0.0,49.0,5.0
54,3.0,43.0,3.0
55,2.0,41.0,6.0
56,2.0,33.0,5.0
57,0.0,32.0,3.0
58,0.0,33.0,6.0
59,1.0,29.0,3.0
60,2.0,22.0,2.0
