date,value
2020-02-27,61
2020-02-28,65
2020-02-29,65
2020-03-01,72
2020-03-02,83
2020-03-03,90
2020-03-04,102
2020-03-05,111
2020-03-06,129
2020-03-07,137
2020-03-08,156
2020-03-09,181
2020-03-10,204
2020-03-11,240
2020-03-12,283
2020-03-13,352
2020-03-14,391
2020-03-15,439
2020-03-16,572
2020-03-17,656
2020-03-18,784
2020-03-19,993
2020-03-20,1166
2020-03-21,1245
2020-03-22,1346
2020-03-23,1674
2020-03-24,1926
2020-03-25,2143
2020-03-26,2341
2020-03-27,2600
2020-03-28,2539
2020-03-29,2492
2020-03-30,2638
2020-03-31,2566
2020-04-01,2468
2020-04-02,2446
2020-04-03,2452
2020-04-04,2241
2020-04-05,2191
2020-04-06,2311
2020-04-07,2171
2020-04-08,2031
2020-04-09,1856
2020-04-10,1767
2020-04-11,1580
2020-04-12,1524
2020-04-13,1515
2020-04-14,1529
2020-04-15,1443
2020-04-16,1332
2020-04-17,1290
2020-04-18,1150
2020-04-19,1122
2020-04-20,1161
2020-04-21,1115
2020-04-22,1035
2020-04-23,994
2020-04-24,938
2020-04-25,809
2020-04-26,779
2020-04-27,763
2020-04-28,779
2020-04-29,721
2020-04-30,697
2020-05-01,643
2020-05-02,560
2020-05-03,544
2020-05-04,592
2020-05-05,525
2020-05-06,540
2020-05-07,514
2020-05-08,513
2020-05-09,465
2020-05-10,447
2020-05-11,476
2020-05-12,447
2020-05-13,421
2020-05-14,388
2020-05-15,367
2020-05-16,324
2020-05-17,338
2020-05-18,370
2020-05-19,346
2020-05-20,332
2020-05-21,298
2020-05-22,328
2020-05-23,292
2020-05-24,284
2020-05-25,319
2020-05-26,313
2020-05-27,283
2020-05-28,262
2020-05-29,264
2020-05-30,247
2020-05-31,242
2020-06-01,246
2020-06-02,268
2020-06-03,259
2020-06-04,244
2020-06-05,227
2020-06-06,194
2020-06-07,194
2020-06-08,194
2020-06-09,174
2020-06-10,158
2020-06-11,162
2020-06-12,153
2020-06-13,134
2020-06-14,133
2020-06-15,136
2020-06-16,136
2020-06-17,128
2020-06-18,129
2020-06-19,125
2020-06-20,106
2020-06-21,107
2020-06-22,110
2020-06-23,111
2020-06-24,110
2020-06-25,117
2020-06-26,113
2020-06-27,92
2020-06-28,96
2020-06-29,105
2020-06-30,91
2020-07-01,89
2020-07-02,82
2020-07-03,82
2020-07-04,72
2020-07-05,75
2020-07-06,79
2020-07-07,81
2020-07-08,79
2020-07-09,79
2020-07-10,89
2020-07-11,81
2020-07-12,81
2020-07-13,88
2020-07-14,89
2020-07-15,82
2020-07-16,78
2020-07-17,76
2020-07-18,83
2020-07-19,86
2020-07-20,89
2020-07-21,88
2020-07-22,77
2020-07-23,84
2020-07-24,82
2020-07-25,85
2020-07-26,87
2020-07-27,95
2020-07-28,98
2020-07-29,89
2020-07-30,93
2020-07-31,97
2020-08-01,98
2020-08-02,108
2020-08-03,118
2020-08-04,111
2020-08-05,106
2020-08-06,105
2020-08-07,112
2020-08-08,119
2020-08-09,132
2020-08-10,142
2020-08-11,161
2020-08-12,163
2020-08-13,163
2020-08-14,158
2020-08-15,154
2020-08-16,163
2020-08-17,180
2020-08-18,175
2020-08-19,178
2020-08-20,187
2020-08-21,181
2020-08-22,161
2020-08-23,162
2020-08-24,166
2020-08-25,173
2020-08-26,163
2020-08-27,148
2020-08-28,150
2020-08-29,133
2020-08-30,135
2020-08-31,146
2020-09-01,145
2020-09-02,151
2020-09-03,146
2020-09-04,153
2020-09-05,153
2020-09-06,171
2020-09-07,192
2020-09-08,206
2020-09-09,226
2020-09-10,220
2020-09-11,240
2020-09-12,237
2020-09-13,250
2020-09-14,291
2020-09-15,299
2020-09-16,326
2020-09-17,344
2020-09-18,382
2020-09-19,400
2020-09-20,420
2020-09-21,472
2020-09-22,502
2020-09-23,545
2020-09-24,594
2020-09-25,622
2020-09-26,617
2020-09-27,650
2020-09-28,705
2020-09-29,742
2020-09-30,759
2020-10-01,787
2020-10-02,809
2020-10-03,831
2020-10-04,871
2020-10-05,976
2020-10-06,1021
2020-10-07,1044
2020-10-08,1072
2020-10-09,1148
2020-10-10,1130
2020-10-11,1188
2020-10-12,1335
2020-10-13,1432
2020-10-14,1426
2020-10-15,1453
2020-10-16,1502
2020-10-17,1493
2020-10-18,1528
2020-10-19,1680
2020-10-20,1738
2020-10-21,1772
2020-10-22,1844
2020-10-23,1925
2020-10-24,1857
2020-10-25,1929
2020-10-26,2089
2020-10-27,2098
2020-10-28,2075
