date,value
2020-02-27,64
2020-02-28,68
2020-02-29,69
2020-03-01,76
2020-03-02,87
2020-03-03,95
2020-03-04,108
2020-03-05,119
2020-03-06,138
2020-03-07,146
2020-03-08,167
2020-03-09,197
2020-03-10,226
2020-03-11,269
2020-03-12,320
2020-03-13,398
2020-03-14,452
2020-03-15,523
2020-03-16,677
2020-03-17,816
2020-03-18,993
2020-03-19,1261
2020-03-20,1505
2020-03-21,1686
2020-03-22,1908
2020-03-23,2344
2020-03-24,2752
2020-03-25,3165
2020-03-26,3589
2020-03-27,4125
2020-03-28,4399
2020-03-29,4625
2020-03-30,5025
2020-03-31,5314
2020-04-01,5617
2020-04-02,5947
2020-04-03,6295
2020-04-04,6460
2020-04-05,6657
2020-04-06,6995
2020-04-07,7211
2020-04-08,7411
2020-04-09,7596
2020-04-10,7806
2020-04-11,7937
2020-04-12,8088
2020-04-13,8251
2020-04-14,8419
2020-04-15,8536
2020-04-16,8652
2020-04-17,8789
2020-04-18,8862
2020-04-19,8939
2020-04-20,9043
2020-04-21,9157
2020-04-22,9255
2020-04-23,9368
2020-04-24,9453
2020-04-25,9507
2020-04-26,9561
2020-04-27,9627
2020-04-28,9722
2020-04-29,9783
2020-04-30,9852
2020-05-01,9901
2020-05-02,9934
2020-05-03,9970
2020-05-04,10039
2020-05-05,10069
2020-05-06,10134
2020-05-07,10181
2020-05-08,10255
2020-05-09,10286
2020-05-10,10316
2020-05-11,10374
2020-05-12,10416
2020-05-13,10465
2020-05-14,10495
2020-05-15,10534
2020-05-16,10552
2020-05-17,10587
2020-05-18,10629
2020-05-19,10654
2020-05-20,10692
2020-05-21,10706
2020-05-22,10749
2020-05-23,10768
2020-05-24,10792
2020-05-25,10843
2020-05-26,10875
2020-05-27,10897
2020-05-28,10916
2020-05-29,10947
2020-05-30,10968
2020-05-31,10986
2020-06-01,11003
2020-06-02,11039
2020-06-03,11057
2020-06-04,11078
2020-06-05,11096
2020-06-06,11103
2020-06-07,11117
2020-06-08,11134
2020-06-09,11149
2020-06-10,11158
2020-06-11,11178
2020-06-12,11188
2020-06-13,11194
2020-06-14,11202
2020-06-15,11210
2020-06-16,11224
2020-06-17,11235
2020-06-18,11248
2020-06-19,11257
2020-06-20,11262
2020-06-21,11273
2020-06-22,11285
2020-06-23,11295
2020-06-24,11310
2020-06-25,11324
2020-06-26,11330
2020-06-27,11334
2020-06-28,11342
2020-06-29,11352
2020-06-30,11357
2020-07-01,11366
2020-07-02,11369
2020-07-03,11377
2020-07-04,11379
2020-07-05,11385
2020-07-06,11391
2020-07-07,11398
2020-07-08,11404
2020-07-09,11412
2020-07-10,11423
2020-07-11,11426
2020-07-12,11429
2020-07-13,11438
2020-07-14,11447
2020-07-15,11452
2020-07-16,11459
2020-07-17,11465
2020-07-18,11478
2020-07-19,11486
2020-07-20,11493
2020-07-21,11502
2020-07-22,11506
2020-07-23,11520
2020-07-24,11529
2020-07-25,11541
2020-07-26,11545
2020-07-27,11555
2020-07-28,11567
2020-07-29,11570
2020-07-30,11587
2020-07-31,11597
2020-08-01,11607
2020-08-02,11619
2020-08-03,11636
2020-08-04,11645
2020-08-05,11655
2020-08-06,11665
2020-08-07,11681
2020-08-08,11700
2020-08-09,11719
2020-08-10,11737
2020-08-11,11768
2020-08-12,11784
2020-08-13,11805
2020-08-14,11816
2020-08-15,11834
2020-08-16,11853
2020-08-17,11877
2020-08-18,11887
2020-08-19,11902
2020-08-20,11924
2020-08-21,11947
2020-08-22,11961
2020-08-23,11973
2020-08-24,11986
2020-08-25,12006
2020-08-26,12024
2020-08-27,12031
2020-08-28,12043
2020-08-29,12046
2020-08-30,12058
2020-08-31,12076
2020-09-01,12089
2020-09-02,12112
2020-09-03,12125
2020-09-04,12145
2020-09-05,12164
2020-09-06,12187
2020-09-07,12218
2020-09-08,12245
2020-09-09,12287
2020-09-10,12306
2020-09-11,12343
2020-09-12,12362
2020-09-13,12390
2020-09-14,12447
2020-09-15,12487
2020-09-16,12541
2020-09-17,12599
2020-09-18,12671
2020-09-19,12729
2020-09-20,12773
2020-09-21,12852
2020-09-22,12920
2020-09-23,13013
2020-09-24,13118
2020-09-25,13204
2020-09-26,13277
2020-09-27,13353
2020-09-28,13458
2020-09-29,13551
2020-09-30,13657
2020-10-01,13773
2020-10-02,13887
2020-10-03,14017
2020-10-04,14116
2020-10-05,14274
2020-10-06,14416
2020-10-07,14556
2020-10-08,14704
2020-10-09,14898
2020-10-10,15036
2020-10-11,15190
2020-10-12,15407
2020-10-13,15637
2020-10-14,15823
2020-10-15,16019
2020-10-16,16217
2020-10-17,16411
2020-10-18,16576
2020-10-19,16833
2020-10-20,17053
2020-10-21,17301
2020-10-22,17559
2020-10-23,17848
2020-10-24,18038
2020-10-25,18264
2020-10-26,18564
2020-10-27,18825
2020-10-28,19076
2020-10-29,19318
2020-10-30,19585
2020-10-31,19768
2020-11-01,19962
2020-11-02,20314
2020-11-03,20528
2020-11-04,20736
2020-11-05,20952
2020-11-06,21174
2020-11-07,21304
2020-11-08,21435
2020-11-09,21702
2020-11-10,21899
2020-11-11,22103
2020-11-12,22280
2020-11-13,22500
2020-11-14,22619
2020-11-15,22748
2020-11-16,22976
2020-11-17,23157
2020-11-18,23329
2020-11-19,23498
2020-11-20,23650
2020-11-21,23775
2020-11-22,23927
2020-11-23,24123
2020-11-24,24267
2020-11-25,24400
2020-11-26,24570
2020-11-27,24736
2020-11-28,24818
2020-11-29,24926
2020-11-30,25072
2020-12-01,25204
2020-12-02,25347
2020-12-03,25509
2020-12-04,25694
2020-12-05,25829
2020-12-06,25950
2020-12-07,26160
2020-12-08,26317
2020-12-09,26476
2020-12-10,26655
2020-12-11,26887
2020-12-12,27031
2020-12-13,27187
2020-12-14,27444
2020-12-15,27626
2020-12-16,27853
2020-12-17,28094
2020-12-18,28359
2020-12-19,28519
2020-12-20,28679
2020-12-21,28988
2020-12-22,29238
2020-12-23,29499
2020-12-24,29770
2020-12-25,29979
2020-12-26,30182
2020-12-27,30411
2020-12-28,30816
2020-12-29,31023
2020-12-30,31258
2020-12-31,31494
2021-01-01,31692
2021-01-02,31894
2021-01-03,32096
2021-01-04,32376
2021-01-05,32615
2021-01-06,32828
2021-01-07,33035
2021-01-08,33236
2021-01-09,33373
2021-01-10,33538
2021-01-11,33790
2021-01-12,33966
2021-01-13,34176
2021-01-14,34362
2021-01-15,34556
2021-01-16,34698
2021-01-17,34827
2021-01-18,35047
2021-01-19,35238
2021-01-20,35395
2021-01-21,35601
2021-01-22,35782
2021-01-23,35922
2021-01-24,36053
2021-01-25,36238
2021-01-26,36384
2021-01-27,36539
2021-01-28,36707
2021-01-29,36906
2021-01-30,37019
2021-01-31,37143
2021-02-01,37339
2021-02-02,37501
2021-02-03,37653
2021-02-04,37821
2021-02-05,37998
2021-02-06,38111
2021-02-07,38208
2021-02-08,38373
2021-02-09,38552
2021-02-10,38715
2021-02-11,38868
2021-02-12,39024
2021-02-13,39126
2021-02-14,39247
2021-02-15,39441
2021-02-16,39594
2021-02-17,39734
2021-02-18,39912
2021-02-19,40056
2021-02-20,40157
2021-02-21,40260
2021-02-22,40451
2021-02-23,40591
2021-02-24,40748
2021-02-25,40871
2021-02-26,41036
2021-02-27,41154
2021-02-28,41276
2021-03-01,41471
2021-03-02,41606
2021-03-03,41728
2021-03-04,41868
2021-03-05,42023
2021-03-06,42122
2021-03-07,42254
2021-03-08,42443
2021-03-09,42608
2021-03-10,42766
2021-03-11,42921
2021-03-12,43088
2021-03-13,43235
2021-03-14,43366
2021-03-15,43556
2021-03-16,43735
2021-03-17,43898
2021-03-18,44098
2021-03-19,44293
2021-03-20,44430
2021-03-21,44587
2021-03-22,44830
2021-03-23,45030
2021-03-24,45242
2021-03-25,45440
2021-03-26,45667
2021-03-27,45799
2021-03-28,45961
2021-03-29,46263
2021-03-30,46458
2021-03-31,46662
2021-04-01,46885
2021-04-02,47065
2021-04-03,47195
2021-04-04,47361
2021-04-05,47552
2021-04-06,47804
2021-04-07,48010
2021-04-08,48216
2021-04-09,48476
2021-04-10,48652
2021-04-11,48817
