,0 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
2020-02-24,0,0,1,1,1,1,0
2020-03-02,0,1,1,3,5,7,1
2020-03-09,2,3,9,17,31,35,6
2020-03-16,4,12,21,81,130,158,21
2020-03-23,8,12,46,151,255,259,15
2020-03-30,4,17,47,131,216,199,11
2020-04-06,6,10,34,83,129,71,8
2020-04-13,2,9,20,55,56,52,2
2020-04-20,1,2,9,30,45,33,5
2020-04-27,2,2,7,21,33,21,0
2020-05-04,3,2,6,11,14,7,3
2020-05-11,1,0,3,11,12,7,0
2020-05-18,0,1,0,10,3,7,3
2020-05-25,0,0,1,7,5,2,1
2020-06-01,0,2,3,5,6,6,2
2020-06-08,0,0,2,2,3,3,0
2020-06-15,0,0,1,2,1,1,1
2020-06-22,1,0,1,2,0,1,0
2020-06-29,0,0,2,3,0,0,0
2020-07-06,0,1,1,1,3,0,0
2020-07-13,0,0,0,0,0,3,0
2020-07-20,1,2,1,1,2,1,1
2020-07-27,0,0,2,3,3,3,3
2020-08-03,1,0,3,4,8,1,1
2020-08-10,1,2,2,4,12,4,1
2020-08-17,0,2,2,7,9,5,3
2020-08-24,0,0,2,4,3,4,2
2020-08-31,0,0,3,7,1,6,0
2020-09-07,0,1,5,4,7,14,0
2020-09-14,1,1,7,7,20,14,4
2020-09-21,5,4,7,19,29,30,1
2020-09-28,0,5,18,24,32,35,5
2020-10-05,1,7,15,33,58,62,11
2020-10-12,3,5,15,47,82,97,25
2020-10-19,5,8,25,55,121,102,18
2020-10-26,5,6,16,79,100,115,18
2020-11-02,5,7,16,58,93,84,19
2020-11-09,1,5,14,54,72,83,13
2020-11-16,0,2,10,35,73,75,14
2020-11-23,2,7,7,43,59,63,6
2020-11-30,2,10,13,42,59,64,10
2020-12-07,3,3,10,41,70,83,15
2020-12-14,6,6,19,51,101,97,8
2020-12-21,1,4,17,72,90,100,10
2020-12-28,3,5,19,65,109,128,9
2021-01-04,1,10,21,52,117,88,13
2021-01-11,5,3,14,51,94,81,7
2021-01-18,5,7,19,48,97,57,8
2021-01-25,4,7,17,54,95,63,12
2021-02-01,4,1,12,40,60,50,6
2021-02-08,3,7,17,45,65,50,5
2021-02-15,4,8,17,57,89,65,5
2021-02-22,2,7,26,64,63,59,4
2021-03-01,6,15,17,60,97,72,5
2021-03-08,0,10,17,64,98,71,8
2021-03-15,3,14,26,86,103,81,7
2021-03-22,6,11,33,68,102,86,5
2021-03-29,4,19,35,87,118,100,9
2021-04-05,3,16,33,102,132,90,6
2021-04-12,5,21,29,85,128,96,6
2021-04-19,6,11,28,79,135,105,6
2021-04-26,4,12,38,85,130,109,4
2021-05-03,6,10,39,81,97,78,0
2021-05-10,2,9,28,70,65,52,5
2021-05-17,8,9,24,62,51,30,2
2021-05-24,4,4,15,44,28,18,3
2021-05-31,1,0,6,24,15,6,0
2021-06-07,0,0,8,17,9,6,1
2021-06-14,3,3,6,11,5,2,3
2021-06-21,2,3,2,4,4,3,0
2021-06-28,1,1,2,2,1,2,0
2021-07-05,2,0,3,4,1,2,0
2021-07-12,7,3,6,10,5,3,0
2021-07-19,2,15,22,30,28,16,2
2021-07-26,9,10,25,30,32,22,3
2021-08-02,11,16,15,27,27,24,1
2021-08-09,4,6,13,23,26,18,2
2021-08-16,4,9,12,27,30,11,2
2021-08-23,3,14,16,25,22,11,4
2021-08-30,4,13,12,19,21,20,2
2021-09-06,5,13,9,20,18,11,4
