date,value
2020-02-27,9
2020-02-28,10
2020-02-29,10
2020-03-01,11
2020-03-02,10
2020-03-03,10
2020-03-04,12
2020-03-05,14
2020-03-06,17
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,25
2020-03-11,26
2020-03-12,32
2020-03-13,35
2020-03-14,44
2020-03-15,51
2020-03-16,57
2020-03-17,60
2020-03-18,65
2020-03-19,70
2020-03-20,71
2020-03-21,70
2020-03-22,71
2020-03-23,71
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,74
2020-03-28,74
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,75
2020-04-06,75
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,77
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,65
2020-05-23,64
2020-05-24,64
2020-05-25,63
2020-05-26,64
2020-05-27,60
2020-05-28,59
2020-05-29,58
2020-05-30,57
2020-05-31,57
2020-06-01,58
2020-06-02,58
2020-06-03,55
2020-06-04,56
2020-06-05,54
2020-06-06,54
2020-06-07,54
2020-06-08,54
2020-06-09,53
2020-06-10,53
2020-06-11,53
2020-06-12,51
2020-06-13,49
2020-06-14,48
2020-06-15,48
2020-06-16,47
2020-06-17,44
2020-06-18,43
2020-06-19,43
2020-06-20,43
2020-06-21,41
2020-06-22,43
2020-06-23,40
2020-06-24,39
2020-06-25,37
2020-06-26,34
2020-06-27,32
2020-06-28,31
2020-06-29,31
2020-06-30,31
2020-07-01,28
2020-07-02,31
2020-07-03,30
2020-07-04,30
2020-07-05,28
2020-07-06,27
2020-07-07,26
2020-07-08,26
2020-07-09,25
2020-07-10,25
2020-07-11,23
2020-07-12,23
2020-07-13,23
2020-07-14,23
2020-07-15,23
2020-07-16,23
2020-07-17,22
2020-07-18,22
2020-07-19,22
2020-07-20,23
2020-07-21,22
2020-07-22,21
2020-07-23,20
2020-07-24,19
2020-07-25,19
2020-07-26,20
2020-07-27,21
2020-07-28,21
2020-07-29,21
2020-07-30,22
2020-07-31,24
2020-08-01,24
2020-08-02,24
2020-08-03,24
2020-08-04,26
2020-08-05,25
2020-08-06,27
2020-08-07,27
2020-08-08,28
2020-08-09,32
2020-08-10,32
2020-08-11,32
2020-08-12,30
2020-08-13,30
2020-08-14,32
2020-08-15,32
2020-08-16,33
2020-08-17,37
2020-08-18,37
2020-08-19,36
2020-08-20,39
2020-08-21,38
2020-08-22,36
2020-08-23,38
2020-08-24,39
2020-08-25,34
2020-08-26,34
2020-08-27,33
2020-08-28,34
2020-08-29,33
2020-08-30,36
2020-08-31,35
2020-09-01,36
2020-09-02,35
2020-09-03,33
2020-09-04,35
2020-09-05,34
2020-09-06,35
2020-09-07,35
2020-09-08,32
2020-09-09,32
2020-09-10,32
2020-09-11,33
2020-09-12,35
2020-09-13,36
2020-09-14,38
2020-09-15,38
2020-09-16,39
2020-09-17,40
2020-09-18,39
2020-09-19,44
2020-09-20,46
2020-09-21,48
2020-09-22,52
2020-09-23,54
2020-09-24,56
2020-09-25,57
2020-09-26,59
2020-09-27,59
2020-09-28,61
2020-09-29,63
2020-09-30,63
2020-10-01,65
2020-10-02,64
2020-10-03,68
2020-10-04,68
2020-10-05,67
2020-10-06,69
2020-10-07,69
2020-10-08,69
2020-10-09,70
2020-10-10,70
2020-10-11,68
2020-10-12,68
2020-10-13,72
2020-10-14,72
2020-10-15,72
2020-10-16,73
2020-10-17,74
2020-10-18,74
2020-10-19,76
2020-10-20,74
2020-10-21,75
2020-10-22,75
2020-10-23,75
2020-10-24,74
2020-10-25,73
2020-10-26,75
2020-10-27,76
2020-10-28,76
2020-10-29,76
2020-10-30,75
2020-10-31,76
2020-11-01,77
2020-11-02,77
2020-11-03,77
2020-11-04,76
2020-11-05,76
2020-11-06,76
2020-11-07,76
2020-11-08,76
2020-11-09,77
2020-11-10,77
2020-11-11,77
2020-11-12,77
2020-11-13,77
2020-11-14,77
2020-11-15,76
2020-11-16,76
2020-11-17,76
2020-11-18,76
2020-11-19,76
2020-11-20,76
2020-11-21,76
2020-11-22,76
2020-11-23,76
2020-11-24,76
2020-11-25,77
2020-11-26,76
2020-11-27,75
2020-11-28,75
2020-11-29,75
2020-11-30,75
2020-12-01,75
2020-12-02,75
2020-12-03,75
2020-12-04,76
2020-12-05,76
2020-12-06,76
2020-12-07,75
2020-12-08,75
2020-12-09,76
2020-12-10,76
2020-12-11,76
2020-12-12,75
2020-12-13,75
2020-12-14,75
2020-12-15,76
2020-12-16,76
2020-12-17,76
2020-12-18,77
2020-12-19,77
2020-12-20,77
2020-12-21,76
2020-12-22,76
2020-12-23,77
2020-12-24,78
2020-12-25,78
2020-12-26,78
2020-12-27,78
2020-12-28,78
2020-12-29,78
2020-12-30,78
2020-12-31,77
2021-01-01,77
2021-01-02,77
2021-01-03,77
2021-01-04,77
2021-01-05,78
2021-01-06,78
2021-01-07,78
2021-01-08,78
2021-01-09,78
2021-01-10,77
2021-01-11,78
2021-01-12,78
2021-01-13,77
2021-01-14,78
2021-01-15,78
2021-01-16,77
2021-01-17,77
2021-01-18,77
2021-01-19,77
2021-01-20,76
2021-01-21,76
2021-01-22,76
2021-01-23,77
2021-01-24,77
2021-01-25,77
2021-01-26,77
2021-01-27,78
2021-01-28,77
2021-01-29,78
2021-01-30,78
2021-01-31,78
2021-02-01,78
2021-02-02,78
2021-02-03,78
2021-02-04,78
2021-02-05,77
2021-02-06,77
2021-02-07,77
2021-02-08,78
2021-02-09,78
2021-02-10,77
2021-02-11,75
2021-02-12,75
2021-02-13,76
2021-02-14,76
2021-02-15,76
2021-02-16,78
2021-02-17,78
2021-02-18,78
2021-02-19,77
2021-02-20,77
2021-02-21,77
2021-02-22,77
2021-02-23,77
2021-02-24,77
2021-02-25,78
2021-02-26,77
2021-02-27,77
2021-02-28,77
2021-03-01,78
2021-03-02,78
2021-03-03,78
2021-03-04,78
2021-03-05,78
2021-03-06,78
2021-03-07,76
2021-03-08,77
2021-03-09,78
2021-03-10,78
2021-03-11,78
2021-03-12,78
2021-03-13,78
2021-03-14,78
2021-03-15,78
2021-03-16,78
2021-03-17,78
2021-03-18,77
2021-03-19,77
2021-03-20,78
2021-03-21,78
2021-03-22,78
2021-03-23,78
2021-03-24,78
2021-03-25,78
2021-03-26,77
2021-03-27,78
2021-03-28,78
2021-03-29,78
2021-03-30,78
2021-03-31,78
2021-04-01,78
2021-04-02,78
2021-04-03,78
2021-04-04,78
2021-04-05,78
2021-04-06,78
2021-04-07,78
2021-04-08,78
2021-04-09,78
2021-04-10,78
2021-04-11,78
2021-04-12,78
2021-04-13,78
2021-04-14,77
2021-04-15,77
2021-04-16,77
2021-04-17,77
2021-04-18,77
2021-04-19,78
2021-04-20,77
2021-04-21,77
2021-04-22,77
2021-04-23,77
2021-04-24,76
2021-04-25,77
2021-04-26,77
2021-04-27,77
2021-04-28,77
2021-04-29,77
2021-04-30,77
2021-05-01,77
2021-05-02,78
2021-05-03,78
2021-05-04,77
2021-05-05,78
2021-05-06,78
2021-05-07,78
2021-05-08,77
2021-05-09,77
2021-05-10,78
2021-05-11,78
2021-05-12,78
2021-05-13,78
2021-05-14,78
2021-05-15,78
2021-05-16,78
2021-05-17,78
2021-05-18,78
2021-05-19,77
2021-05-20,77
2021-05-21,77
2021-05-22,77
2021-05-23,76
2021-05-24,77
2021-05-25,77
2021-05-26,77
2021-05-27,77
2021-05-28,77
2021-05-29,76
2021-05-30,76
2021-05-31,76
2021-06-01,76
2021-06-02,77
2021-06-03,76
2021-06-04,76
2021-06-05,75
2021-06-06,75
2021-06-07,74
2021-06-08,75
2021-06-09,74
2021-06-10,73
2021-06-11,73
2021-06-12,73
2021-06-13,73
2021-06-14,74
2021-06-15,73
2021-06-16,73
2021-06-17,73
2021-06-18,72
2021-06-19,71
2021-06-20,70
2021-06-21,70
2021-06-22,68
2021-06-23,66
2021-06-24,66
2021-06-25,64
2021-06-26,63
2021-06-27,62
2021-06-28,62
2021-06-29,61
2021-06-30,59
2021-07-01,55
2021-07-02,54
2021-07-03,53
2021-07-04,52
2021-07-05,52
2021-07-06,52
2021-07-07,52
2021-07-08,49
2021-07-09,49
2021-07-10,47
2021-07-11,45
2021-07-12,47
2021-07-13,45
2021-07-14,45
2021-07-15,44
2021-07-16,48
2021-07-17,46
2021-07-18,48
2021-07-19,54
2021-07-20,54
2021-07-21,55
2021-07-22,56
2021-07-23,56
2021-07-24,59
2021-07-25,62
2021-07-26,61
2021-07-27,68
2021-07-28,69
2021-07-29,70
2021-07-30,68
2021-07-31,69
2021-08-01,69
2021-08-02,69
2021-08-03,71
2021-08-04,72
2021-08-05,72
2021-08-06,72
2021-08-07,72
2021-08-08,71
2021-08-09,73
2021-08-10,74
2021-08-11,74
2021-08-12,74
2021-08-13,73
2021-08-14,73
2021-08-15,72
2021-08-16,70
2021-08-17,71
2021-08-18,73
2021-08-19,73
2021-08-20,72
2021-08-21,72
2021-08-22,72
2021-08-23,73
2021-08-24,73
2021-08-25,74
2021-08-26,74
2021-08-27,72
2021-08-28,72
2021-08-29,72
2021-08-30,73
2021-08-31,74
2021-09-01,74
2021-09-02,72
2021-09-03,72
2021-09-04,73
2021-09-05,72
2021-09-06,72
2021-09-07,73
2021-09-08,74
2021-09-09,74
2021-09-10,74
2021-09-11,73
2021-09-12,72
2021-09-13,71
2021-09-14,71
2021-09-15,73
2021-09-16,73
2021-09-17,70
2021-09-18,71
2021-09-19,71
2021-09-20,72
2021-09-21,72
2021-09-22,72
2021-09-23,73
2021-09-24,71
2021-09-25,72
2021-09-26,73
2021-09-27,73
2021-09-28,71
2021-09-29,70
2021-09-30,67
2021-10-01,68
2021-10-02,66
2021-10-03,66
2021-10-04,67
2021-10-05,65
2021-10-06,67
2021-10-07,66
2021-10-08,66
2021-10-09,67
2021-10-10,70
2021-10-11,71
2021-10-12,69
2021-10-13,69
2021-10-14,68
2021-10-15,65
2021-10-16,63
2021-10-17,64
2021-10-18,65
2021-10-19,65
2021-10-20,64
2021-10-21,69
2021-10-22,71
2021-10-23,71
2021-10-24,69
2021-10-25,71
2021-10-26,72
2021-10-27,71
2021-10-28,71
2021-10-29,74
2021-10-30,75
2021-10-31,74
2021-11-01,75
2021-11-02,75
2021-11-03,75
2021-11-04,75
2021-11-05,76
2021-11-06,76
2021-11-07,76
2021-11-08,76
2021-11-09,76
2021-11-10,76
2021-11-11,76
2021-11-12,76
2021-11-13,76
2021-11-14,76
2021-11-15,76
2021-11-16,75
2021-11-17,75
2021-11-18,75
2021-11-19,75
2021-11-20,73
2021-11-21,74
2021-11-22,75
2021-11-23,76
2021-11-24,77
2021-11-25,77
2021-11-26,76
2021-11-27,76
2021-11-28,76
2021-11-29,76
2021-11-30,76
2021-12-01,76
2021-12-02,77
2021-12-03,77
2021-12-04,78
2021-12-05,77
2021-12-06,78
2021-12-07,78
2021-12-08,77
2021-12-09,78
2021-12-10,78
2021-12-11,78
2021-12-12,77
2021-12-13,77
2021-12-14,77
2021-12-15,77
2021-12-16,77
2021-12-17,78
2021-12-18,78
2021-12-19,78
2021-12-20,78
2021-12-21,78
2021-12-22,78
2021-12-23,78
2021-12-24,78
2021-12-25,77
2021-12-26,77
2021-12-27,77
2021-12-28,77
2021-12-29,78
2021-12-30,78
2021-12-31,78
2022-01-01,77
2022-01-02,77
2022-01-03,77
2022-01-04,77
2022-01-05,77
2022-01-06,77
2022-01-07,77
2022-01-08,77
2022-01-09,77
2022-01-10,77
2022-01-11,76
2022-01-12,76
2022-01-13,75
2022-01-14,76
2022-01-15,75
2022-01-16,75
2022-01-17,75
2022-01-18,76
2022-01-19,76
2022-01-20,75
2022-01-21,74
2022-01-22,74
2022-01-23,74
2022-01-24,74
2022-01-25,73
2022-01-26,72
2022-01-27,72
2022-01-28,69
2022-01-29,69
2022-01-30,69
2022-01-31,70
2022-02-01,67
2022-02-02,67
2022-02-03,71
2022-02-04,69
2022-02-05,69
2022-02-06,67
2022-02-07,66
2022-02-08,70
2022-02-09,70
2022-02-10,70
2022-02-11,68
2022-02-12,66
2022-02-13,65
2022-02-14,65
2022-02-15,66
2022-02-16,65
2022-02-17,68
2022-02-18,68
2022-02-19,69
2022-02-20,70
2022-02-21,71
2022-02-22,71
2022-02-23,70
2022-02-24,70
2022-02-25,68
2022-02-26,68
2022-02-27,69
2022-02-28,69
2022-03-01,70
2022-03-02,71
2022-03-03,70
2022-03-04,68
2022-03-05,67
2022-03-06,66
2022-03-07,66
2022-03-08,65
2022-03-09,63
2022-03-10,62
2022-03-11,61
2022-03-12,60
2022-03-13,58
2022-03-14,60
2022-03-15,64
2022-03-16,59
2022-03-17,56
2022-03-18,56
2022-03-19,57
2022-03-20,61
2022-03-21,64
2022-03-22,66
2022-03-23,69
2022-03-24,68
2022-03-25,64
2022-03-26,64
2022-03-27,61
2022-03-28,62
2022-03-29,61
2022-03-30,61
2022-03-31,61
2022-04-01,60
2022-04-02,55
2022-04-03,55
2022-04-04,51
2022-04-05,54
2022-04-06,53
2022-04-07,54
2022-04-08,55
2022-04-09,50
2022-04-10,48
2022-04-11,47
2022-04-12,51
2022-04-13,53
2022-04-14,53
2022-04-15,51
2022-04-16,48
2022-04-17,51
2022-04-18,53
2022-04-19,53
2022-04-20,52
2022-04-21,49
2022-04-22,49
2022-04-23,47
2022-04-24,46
2022-04-25,45
2022-04-26,45
2022-04-27,48
2022-04-28,46
2022-04-29,45
2022-04-30,42
2022-05-01,42
2022-05-02,41
2022-05-03,39
2022-05-04,39
2022-05-05,36
2022-05-06,36
2022-05-07,36
2022-05-08,34
2022-05-09,34
2022-05-10,32
2022-05-11,31
2022-05-12,31
2022-05-13,28
2022-05-14,26
2022-05-15,23
2022-05-16,28
2022-05-17,26
2022-05-18,27
2022-05-19,26
2022-05-20,23
2022-05-21,23
2022-05-22,24
2022-05-23,25
2022-05-24,25
2022-05-25,24
2022-05-26,23
2022-05-27,22
2022-05-28,21
2022-05-29,20
2022-05-30,20
2022-05-31,20
2022-06-01,24
2022-06-02,24
2022-06-03,21
2022-06-04,20
2022-06-05,19
2022-06-06,21
2022-06-07,21
2022-06-08,21
2022-06-09,25
2022-06-10,27
2022-06-11,25
2022-06-12,23
2022-06-13,26
2022-06-14,29
2022-06-15,28
2022-06-16,27
2022-06-17,23
2022-06-18,25
2022-06-19,24
2022-06-20,24
2022-06-21,27
2022-06-22,27
2022-06-23,29
2022-06-24,28
2022-06-25,28
2022-06-26,31
2022-06-27,31
2022-06-28,31
2022-06-29,28
2022-06-30,28
2022-07-01,26
2022-07-02,26
2022-07-03,22
2022-07-04,27
2022-07-05,28
2022-07-06,31
2022-07-07,28
2022-07-08,28
2022-07-09,28
2022-07-10,30
2022-07-11,35
2022-07-12,35
2022-07-13,33
2022-07-14,30
2022-07-15,30
2022-07-16,32
2022-07-17,37
2022-07-18,40
2022-07-19,36
2022-07-20,36
2022-07-21,33
2022-07-22,33
2022-07-23,32
2022-07-24,38
2022-07-25,38
2022-07-26,38
2022-07-27,40
2022-07-28,35
2022-07-29,36
2022-07-30,34
2022-07-31,35
2022-08-01,34
2022-08-02,35
2022-08-03,34
2022-08-04,33
2022-08-05,33
2022-08-06,32
2022-08-07,32
2022-08-08,34
2022-08-09,32
2022-08-10,29
2022-08-11,32
2022-08-12,31
2022-08-13,30
2022-08-14,31
2022-08-15,36
2022-08-16,35
2022-08-17,33
2022-08-18,33
2022-08-19,35
2022-08-20,32
2022-08-21,31
2022-08-22,31
2022-08-23,30
2022-08-24,28
2022-08-25,30
2022-08-26,27
2022-08-27,27
2022-08-28,27
2022-08-29,29
2022-08-30,27
2022-08-31,25
2022-09-01,25
2022-09-02,24
2022-09-03,25
2022-09-04,25
2022-09-05,23
2022-09-06,20
2022-09-07,21
2022-09-08,23
2022-09-09,23
2022-09-10,22
2022-09-11,24
2022-09-12,23
2022-09-13,25
2022-09-14,27
2022-09-15,24
2022-09-16,26
2022-09-17,26
2022-09-18,26
2022-09-19,29
2022-09-20,29
2022-09-21,27
2022-09-22,27
2022-09-23,26
2022-09-24,26
2022-09-25,28
2022-09-26,32
2022-09-27,34
2022-09-28,32
2022-09-29,34
2022-09-30,31
2022-10-01,31
2022-10-02,32
2022-10-03,33
2022-10-04,35
2022-10-05,36
2022-10-06,37
2022-10-07,43
2022-10-08,38
2022-10-09,39
2022-10-10,37
2022-10-11,35
2022-10-12,37
2022-10-13,34
2022-10-14,36
2022-10-15,36
2022-10-16,37
2022-10-17,39
2022-10-18,40
2022-10-19,42
2022-10-20,44
2022-10-21,40
2022-10-22,38
2022-10-23,39
2022-10-24,39
2022-10-25,40
2022-10-26,40
2022-10-27,36
2022-10-28,32
2022-10-29,29
2022-10-30,33
2022-10-31,39
2022-11-01,35
2022-11-02,33
2022-11-03,32
2022-11-04,32
2022-11-05,32
2022-11-06,29
2022-11-07,28
2022-11-08,32
2022-11-09,31
2022-11-10,30
2022-11-11,31
2022-11-12,32
2022-11-13,33
2022-11-14,34
2022-11-15,30
2022-11-16,30
2022-11-17,28
2022-11-18,27
2022-11-19,29
2022-11-20,29
2022-11-21,31
2022-11-22,29
2022-11-23,30
2022-11-24,30
2022-11-25,33
2022-11-26,28
2022-11-27,27
2022-11-28,26
2022-11-29,27
2022-11-30,31
2022-12-01,30
2022-12-02,28
2022-12-03,28
2022-12-04,30
2022-12-05,32
2022-12-06,35
2022-12-07,33
2022-12-08,31
2022-12-09,35
2022-12-10,33
2022-12-11,31
2022-12-12,34
2022-12-13,35
2022-12-14,35
2022-12-15,32
2022-12-16,31
2022-12-17,28
2022-12-18,33
2022-12-19,33
2022-12-20,27
2022-12-21,35
2022-12-22,34
2022-12-23,34
2022-12-24,32
2022-12-25,36
2022-12-26,37
2022-12-27,36
2022-12-28,39
2022-12-29,40
2022-12-30,40
2022-12-31,38
