date,value
2020-02-27,13
2020-02-28,14
2020-02-29,15
2020-03-01,17
2020-03-02,16
2020-03-03,18
2020-03-04,21
2020-03-05,21
2020-03-06,24
2020-03-07,26
2020-03-08,32
2020-03-09,37
2020-03-10,45
2020-03-11,52
2020-03-12,72
2020-03-13,82
2020-03-14,101
2020-03-15,123
2020-03-16,153
2020-03-17,182
2020-03-18,233
2020-03-19,293
2020-03-20,364
2020-03-21,435
2020-03-22,487
2020-03-23,576
2020-03-24,655
2020-03-25,755
2020-03-26,841
2020-03-27,924
2020-03-28,988
2020-03-29,1037
2020-03-30,1121
2020-03-31,1186
2020-04-01,1203
2020-04-02,1248
2020-04-03,1276
2020-04-04,1281
2020-04-05,1305
2020-04-06,1312
2020-04-07,1314
2020-04-08,1285
2020-04-09,1282
2020-04-10,1289
2020-04-11,1259
2020-04-12,1240
2020-04-13,1224
2020-04-14,1202
2020-04-15,1178
2020-04-16,1144
2020-04-17,1113
2020-04-18,1068
2020-04-19,1037
2020-04-20,1016
2020-04-21,981
2020-04-22,923
2020-04-23,882
2020-04-24,864
2020-04-25,833
2020-04-26,806
2020-04-27,785
2020-04-28,764
2020-04-29,736
2020-04-30,712
2020-05-01,678
2020-05-02,639
2020-05-03,626
2020-05-04,615
2020-05-05,574
2020-05-06,548
2020-05-07,527
2020-05-08,495
2020-05-09,473
2020-05-10,455
2020-05-11,449
2020-05-12,407
2020-05-13,391
2020-05-14,365
2020-05-15,348
2020-05-16,333
2020-05-17,327
2020-05-18,322
2020-05-19,288
2020-05-20,278
2020-05-21,257
2020-05-22,246
2020-05-23,231
2020-05-24,230
2020-05-25,220
2020-05-26,197
2020-05-27,183
2020-05-28,175
2020-05-29,165
2020-05-30,156
2020-05-31,158
2020-06-01,156
2020-06-02,151
2020-06-03,137
2020-06-04,135
2020-06-05,132
2020-06-06,130
2020-06-07,129
2020-06-08,127
2020-06-09,120
2020-06-10,117
2020-06-11,113
2020-06-12,110
2020-06-13,108
2020-06-14,107
2020-06-15,106
2020-06-16,97
2020-06-17,88
2020-06-18,81
2020-06-19,74
2020-06-20,74
2020-06-21,70
2020-06-22,72
2020-06-23,65
2020-06-24,61
2020-06-25,59
2020-06-26,53
2020-06-27,49
2020-06-28,45
2020-06-29,45
2020-06-30,45
2020-07-01,41
2020-07-02,43
2020-07-03,40
2020-07-04,41
2020-07-05,39
2020-07-06,38
2020-07-07,36
2020-07-08,33
2020-07-09,33
2020-07-10,34
2020-07-11,32
2020-07-12,33
2020-07-13,32
2020-07-14,29
2020-07-15,29
2020-07-16,28
2020-07-17,28
2020-07-18,27
2020-07-19,28
2020-07-20,28
2020-07-21,28
2020-07-22,28
2020-07-23,26
