date,value
2020-02-27,13
2020-02-28,14
2020-02-29,15
2020-03-01,17
2020-03-02,17
2020-03-03,19
2020-03-04,22
2020-03-05,24
2020-03-06,28
2020-03-07,31
2020-03-08,36
2020-03-09,43
2020-03-10,53
2020-03-11,62
2020-03-12,85
2020-03-13,98
2020-03-14,119
2020-03-15,147
2020-03-16,180
2020-03-17,215
2020-03-18,271
2020-03-19,338
2020-03-20,421
2020-03-21,505
2020-03-22,580
2020-03-23,679
2020-03-24,790
2020-03-25,911
2020-03-26,1024
2020-03-27,1141
2020-03-28,1245
2020-03-29,1337
2020-03-30,1466
2020-03-31,1577
2020-04-01,1654
2020-04-02,1752
2020-04-03,1829
2020-04-04,1895
2020-04-05,1971
2020-04-06,2032
2020-04-07,2092
2020-04-08,2150
2020-04-09,2202
2020-04-10,2252
2020-04-11,2282
2020-04-12,2316
2020-04-13,2361
2020-04-14,2399
2020-04-15,2424
2020-04-16,2454
2020-04-17,2480
2020-04-18,2499
2020-04-19,2519
2020-04-20,2546
2020-04-21,2569
2020-04-22,2584
2020-04-23,2600
2020-04-24,2619
2020-04-25,2633
2020-04-26,2646
2020-04-27,2660
2020-04-28,2675
2020-04-29,2687
2020-04-30,2705
2020-05-01,2714
2020-05-02,2723
2020-05-03,2734
2020-05-04,2746
2020-05-05,2749
2020-05-06,2756
2020-05-07,2766
2020-05-08,2773
2020-05-09,2778
2020-05-10,2782
2020-05-11,2790
2020-05-12,2792
2020-05-13,2796
2020-05-14,2805
2020-05-15,2808
2020-05-16,2816
2020-05-17,2820
2020-05-18,2824
2020-05-19,2825
2020-05-20,2827
2020-05-21,2829
2020-05-22,2833
2020-05-23,2837
2020-05-24,2844
2020-05-25,2845
2020-05-26,2849
2020-05-27,2853
2020-05-28,2854
2020-05-29,2857
2020-05-30,2860
2020-05-31,2863
2020-06-01,2868
2020-06-02,2869
2020-06-03,2874
2020-06-04,2880
2020-06-05,2883
2020-06-06,2885
2020-06-07,2888
2020-06-08,2888
2020-06-09,2890
2020-06-10,2892
2020-06-11,2893
2020-06-12,2896
2020-06-13,2898
2020-06-14,2898
2020-06-15,2899
2020-06-16,2901
2020-06-17,2901
2020-06-18,2902
2020-06-19,2902
2020-06-20,2904
2020-06-21,2904
2020-06-22,2907
2020-06-23,2908
2020-06-24,2909
2020-06-25,2909
2020-06-26,2909
2020-06-27,2909
2020-06-28,2909
2020-06-29,2909
2020-06-30,2911
2020-07-01,2911
2020-07-02,2914
2020-07-03,2914
2020-07-04,2915
2020-07-05,2915
2020-07-06,2915
2020-07-07,2916
2020-07-08,2918
2020-07-09,2919
2020-07-10,2920
2020-07-11,2920
2020-07-12,2921
2020-07-13,2921
