,0 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
2022-12-26,1,0,1,0,4,2,0
2023-01-02,1,3,1,8,15,22,8
2023-01-09,0,0,1,4,11,9,6
2023-01-16,0,0,0,1,7,9,4
2023-01-23,1,1,1,4,1,4,10
2023-01-30,0,1,0,1,7,8,4
2023-02-06,0,0,2,1,9,10,4
2023-02-13,0,0,4,4,3,13,6
2023-02-20,2,3,3,6,13,14,5
2023-02-27,6,1,4,5,12,29,14
2023-03-06,3,1,4,9,17,27,8
2023-03-13,1,3,3,3,14,12,11
2023-03-20,2,0,4,6,17,13,9
2023-03-27,1,0,0,5,13,13,10
2023-04-03,0,1,0,3,9,15,1
2023-04-10,0,1,0,2,5,7,4
2023-04-17,0,1,1,2,8,6,1
2023-04-24,0,0,1,1,2,6,5
2023-05-01,0,0,0,3,9,8,0
2023-05-08,0,0,1,0,8,6,1
2023-05-15,1,0,0,0,0,2,2
2023-05-22,0,1,0,1,0,4,1
2023-05-29,1,1,0,1,0,1,2
2023-06-05,0,0,0,0,5,0,3
2023-06-12,0,0,0,2,0,4,1
2023-06-19,1,0,0,0,2,2,0
2023-06-26,0,0,0,1,0,1,0
2023-07-03,0,0,0,0,0,1,0
2023-07-10,0,0,0,0,1,1,1
2023-07-17,0,1,0,0,0,2,0
2023-07-24,0,0,0,0,1,1,0
2023-07-31,0,0,0,0,0,0,0
