date,value
2023-01-01,35
2023-01-02,39
2023-01-03,38
2023-01-04,38
2023-01-05,40
2023-01-06,42
2023-01-07,38
2023-01-08,40
2023-01-09,39
2023-01-10,35
2023-01-11,33
2023-01-12,32
2023-01-13,32
2023-01-14,32
2023-01-15,29
2023-01-16,30
2023-01-17,29
2023-01-18,28
2023-01-19,25
2023-01-20,23
2023-01-21,21
2023-01-22,20
2023-01-23,25
2023-01-24,24
2023-01-25,21
2023-01-26,16
2023-01-27,15
2023-01-28,17
2023-01-29,18
2023-01-30,19
2023-01-31,17
2023-02-01,17
2023-02-02,18
2023-02-03,18
2023-02-04,17
2023-02-05,16
2023-02-06,17
2023-02-07,14
2023-02-08,18
2023-02-09,20
2023-02-10,16
2023-02-11,13
2023-02-12,13
2023-02-13,14
2023-02-14,16
2023-02-15,20
2023-02-16,22
2023-02-17,20
2023-02-18,20
2023-02-19,22
2023-02-20,23
2023-02-21,25
2023-02-22,28
2023-02-23,28
2023-02-24,27
2023-02-25,29
2023-02-26,28
2023-02-27,31
2023-02-28,34
2023-03-01,34
2023-03-02,36
2023-03-03,34
2023-03-04,29
2023-03-05,29
2023-03-06,32
2023-03-07,36
2023-03-08,32
2023-03-09,33
2023-03-10,36
2023-03-11,39
2023-03-12,40
2023-03-13,41
2023-03-14,40
2023-03-15,36
2023-03-16,35
2023-03-17,32
2023-03-18,32
2023-03-19,32
2023-03-20,35
2023-03-21,39
2023-03-22,37
2023-03-23,37
2023-03-24,33
2023-03-25,32
2023-03-26,31
2023-03-27,34
2023-03-28,39
2023-03-29,36
2023-03-30,35
2023-03-31,37
2023-04-01,35
2023-04-02,36
2023-04-03,36
2023-04-04,30
2023-04-05,27
2023-04-06,30
2023-04-07,26
2023-04-08,27
2023-04-09,26
2023-04-10,28
2023-04-11,27
2023-04-12,26
2023-04-13,25
2023-04-14,27
2023-04-15,27
2023-04-16,26
2023-04-17,24
2023-04-18,24
2023-04-19,23
2023-04-20,23
2023-04-21,23
2023-04-22,22
2023-04-23,26
2023-04-24,27
2023-04-25,25
2023-04-26,24
2023-04-27,24
2023-04-28,25
2023-04-29,25
2023-04-30,23
2023-05-01,24
2023-05-02,24
2023-05-03,25
2023-05-04,27
2023-05-05,27
2023-05-06,26
2023-05-07,24
2023-05-08,23
2023-05-09,23
2023-05-10,20
2023-05-11,18
2023-05-12,18
2023-05-13,22
2023-05-14,22
2023-05-15,22
2023-05-16,19
2023-05-17,19
2023-05-18,17
2023-05-19,17
2023-05-20,18
2023-05-21,15
2023-05-22,14
2023-05-23,14
2023-05-24,16
2023-05-25,15
2023-05-26,15
2023-05-27,15
2023-05-28,15
2023-05-29,17
2023-05-30,18
2023-05-31,17
2023-06-01,16
2023-06-02,16
2023-06-03,16
2023-06-04,17
2023-06-05,19
2023-06-06,17
2023-06-07,17
2023-06-08,17
